n_steps,max_lag,method,mean,std,var,n_valid,time_averaged,n_particles,n_simulations,fitting_fraction,is_diagonal
32,32,OLS,1.0020271902239632,0.07803461199847024,0.006089400669751797,8192,True,128,8192,1.0,True
32,32,WLS,1.0005617708447008,0.030678888542634414,0.0009411942022113852,8192,True,128,8192,1.0,True
32,32,WLS_SQRTLAG,1.001857853316749,0.0710528894549051,0.005048513099890963,8192,True,128,8192,1.0,True
32,32,GLS,1.0001033949655893,0.018310576170320902,0.0003352771996891236,8192,True,128,8192,1.0,True
45,32,OLS,1.0008287822850042,0.06660925917696764,0.004436793408104448,8192,True,128,8192,0.7111111111111111,False
45,32,WLS,1.000161204889067,0.02558059646171486,0.000654366915337099,8192,True,128,8192,0.7111111111111111,False
45,32,WLS_SQRTLAG,1.0007291800070575,0.060328086003250285,0.0036394779608155633,8192,True,128,8192,0.7111111111111111,False
45,32,GLS,1.000132391515713,0.015320240660123446,0.00023470977388409967,8192,True,128,8192,0.7111111111111111,False
45,45,OLS,0.9998129824366881,0.07597444408813324,0.005772116154500883,8192,True,128,8192,1.0,True
45,45,WLS,0.9997868477756746,0.02773494426073539,0.0007692271331460989,8192,True,128,8192,1.0,True
45,45,WLS_SQRTLAG,0.9998217245218278,0.06889602558077643,0.004746662340826999,8192,True,128,8192,1.0,True
45,45,GLS,0.9999334317154727,0.015613039162302719,0.00024376699188359836,8192,True,128,8192,1.0,True
64,32,OLS,0.9998030982038685,0.052885084151212076,0.0027968321256807826,8192,True,128,8192,0.5,False
64,32,WLS,0.9999246788717786,0.02128583566938851,0.0004530868001442122,8192,True,128,8192,0.5,False
64,32,WLS_SQRTLAG,0.9998405430627356,0.04793490960721663,0.0022977555590520293,8192,True,128,8192,0.5,False
64,32,GLS,1.0000127538268333,0.012825598169183178,0.0001644959683973549,8192,True,128,8192,0.5,False
64,45,OLS,0.9999786510200362,0.0646205344261014,0.004175813469514955,8192,True,128,8192,0.703125,False
64,45,WLS,0.9999102786714532,0.02306032615949277,0.0005317786425821866,8192,True,128,8192,0.703125,False
64,45,WLS_SQRTLAG,0.9999484194282497,0.05811932675132042,0.0033778561420267496,8192,True,128,8192,0.703125,False
64,45,GLS,0.9998469481059622,0.01295830187655953,0.00016791758752404624,8192,True,128,8192,0.703125,False
64,64,OLS,1.00173484195272,0.07690229258212822,0.005913962604387253,8192,True,128,8192,1.0,True
64,64,WLS,0.999927182066479,0.02499313487158809,0.0006246567907093926,8192,True,128,8192,1.0,True
64,64,WLS_SQRTLAG,1.001380516497762,0.06922788041571704,0.004792499426852817,8192,True,128,8192,1.0,True
64,64,GLS,0.9997747735676117,0.012798547970302923,0.00016380283014814508,8192,True,128,8192,1.0,True
90,32,OLS,0.9998028005218005,0.04214948858785127,0.0017765793882174045,8192,True,128,8192,0.35555555555555557,False
90,32,WLS,0.9998039548450478,0.017914621764473476,0.0003209336729641468,8192,True,128,8192,0.35555555555555557,False
90,32,WLS_SQRTLAG,0.9997936359526434,0.03840075871135118,0.0014746182696074135,8192,True,128,8192,0.35555555555555557,False
90,32,GLS,0.9999430668923803,0.010848724358984534,0.00011769482021722437,8192,True,128,8192,0.35555555555555557,False
90,45,OLS,0.9998979038711859,0.05275940403407397,0.0027835547140306607,8192,True,128,8192,0.5,False
90,45,WLS,0.9999225162879847,0.019463268339670513,0.00037881881446202056,8192,True,128,8192,0.5,False
90,45,WLS_SQRTLAG,0.9999113681737402,0.047511875907334605,0.0022573783522339625,8192,True,128,8192,0.5,False
90,45,GLS,0.9998143401941468,0.010735214157915738,0.00011524482301631449,8192,True,128,8192,0.5,False
90,64,OLS,1.0010871573089875,0.06602585892774458,0.004359414047146428,8192,True,128,8192,0.7111111111111111,False
90,64,WLS,1.000123504338931,0.021057616355433427,0.0004434232065726174,8192,True,128,8192,0.7111111111111111,False
90,64,WLS_SQRTLAG,1.0009234992910434,0.05906491835812081,0.003488664580651477,8192,True,128,8192,0.7111111111111111,False
90,64,GLS,1.0000700916263523,0.010626490991515254,0.00011292231079275487,8192,True,128,8192,0.7111111111111111,False
90,90,OLS,1.0003529158109827,0.07561600800724527,0.005717780666951781,8192,True,128,8192,1.0,True
90,90,WLS,0.9999725035577074,0.023092546704866625,0.0005332657133164464,8192,True,128,8192,1.0,True
90,90,WLS_SQRTLAG,1.000264998955509,0.06802086090670918,0.004626837518489878,8192,True,128,8192,1.0,True
90,90,GLS,0.9998971108942369,0.010765334545866664,0.0001158924278844302,8192,True,128,8192,1.0,True
