n_steps,max_lag,method,mean,std,var,n_valid,time_averaged,n_particles,n_simulations,fitting_fraction,is_diagonal
32,32,OLS,1.0006722229792875,0.0771758969514077,0.005956119070254299,1024,True,128,1024,1.0,True
32,32,WLS,1.0015350344305993,0.030346223992088698,0.0009208933105780198,1024,True,128,1024,1.0,True
32,32,WLS_SQRTLAG,1.0009029559543254,0.0702929794350368,0.004941102957854507,1024,True,128,1024,1.0,True
32,32,GLS,1.000546077825632,0.017581894704956184,0.0003091230214161663,1024,True,128,1024,1.0,True
45,32,OLS,1.0011551039830096,0.06736526618908564,0.004538079088726365,1024,True,128,1024,0.7111111111111111,False
45,32,WLS,1.0008552708244078,0.026276788151773797,0.0006904695955731999,1024,True,128,1024,0.7111111111111111,False
45,32,WLS_SQRTLAG,1.0011781951714247,0.061083068969718574,0.003731141314759396,1024,True,128,1024,0.7111111111111111,False
45,32,GLS,1.0007008265655113,0.015297485337336703,0.00023401305764603143,1024,True,128,1024,0.7111111111111111,False
45,45,OLS,1.0028161407460539,0.07462176691341299,0.005568408097279738,1024,True,128,1024,1.0,True
45,45,WLS,1.0004337712157931,0.027593803233245284,0.0007614179768750579,1024,True,128,1024,1.0,True
45,45,WLS_SQRTLAG,1.002677765616658,0.067821250698747,0.004599722046342291,1024,True,128,1024,1.0,True
45,45,GLS,0.9998296906051582,0.015314382640711553,0.00023453031566612734,1024,True,128,1024,1.0,True
64,32,OLS,1.0037887547383921,0.052307441992841805,0.0027360684878345106,1024,True,128,1024,0.5,False
64,32,WLS,1.0017041640699729,0.021469501472889264,0.0004609394934943942,1024,True,128,1024,0.5,False
64,32,WLS_SQRTLAG,1.0035468054562244,0.04749946850135603,0.0022561995079113137,1024,True,128,1024,0.5,False
64,32,GLS,1.0002825684050416,0.012805859020634055,0.00016399002525635458,1024,True,128,1024,0.5,False
64,45,OLS,0.9999691546678791,0.062360363371204326,0.0038888149197886424,1024,True,128,1024,0.703125,False
64,45,WLS,0.9992710969195928,0.02194601995750958,0.0004816277919754088,1024,True,128,1024,0.703125,False
64,45,WLS_SQRTLAG,0.9997360564630072,0.05591894055321478,0.003126927912593968,1024,True,128,1024,0.703125,False
64,45,GLS,0.9994579986170732,0.012527101374629977,0.00015692826885025624,1024,True,128,1024,0.703125,False
64,64,OLS,1.00036331826357,0.07656011813444845,0.005861451688760703,1024,True,128,1024,1.0,True
64,64,WLS,0.9994632029457231,0.02547201921858276,0.0006488237630718496,1024,True,128,1024,1.0,True
64,64,WLS_SQRTLAG,1.0003557965923435,0.06906614597147202,0.004770132519352681,1024,True,128,1024,1.0,True
64,64,GLS,0.9992111204159623,0.012913626617873921,0.00016676175242586185,1024,True,128,1024,1.0,True
90,32,OLS,0.9997636051075713,0.04291042316504886,0.001841304416203562,1024,True,128,1024,0.35555555555555557,False
90,32,WLS,0.9991263791378748,0.017650858538843576,0.00031155280715826713,1024,True,128,1024,0.35555555555555557,False
90,32,WLS_SQRTLAG,0.9995137149582749,0.038979827984918655,0.0015194269897338478,1024,True,128,1024,0.35555555555555557,False
90,32,GLS,0.9998156207697046,0.010570246856249806,0.0001117301186020589,1024,True,128,1024,0.35555555555555557,False
90,45,OLS,0.9988418038078309,0.05254728659080598,0.002761217328056298,1024,True,128,1024,0.5,False
90,45,WLS,0.9991424025517277,0.01880734759369087,0.00035371632350990974,1024,True,128,1024,0.5,False
90,45,WLS_SQRTLAG,0.998821578256192,0.04720831404728515,0.0022286249151871004,1024,True,128,1024,0.5,False
90,45,GLS,0.9997394206460088,0.010476925119171745,0.00010976595995273189,1024,True,128,1024,0.5,False
90,64,OLS,1.0018757972037649,0.06653011707534973,0.004426256478059741,1024,True,128,1024,0.7111111111111111,False
90,64,WLS,0.9994308718351718,0.021341641154747522,0.00045546564717801317,1024,True,128,1024,0.7111111111111111,False
90,64,WLS_SQRTLAG,1.0011674243712951,0.05942857489275515,0.0035317555137838077,1024,True,128,1024,0.7111111111111111,False
