n_steps,max_lag,method,mean,std,var,n_valid,time_averaged,n_particles,n_simulations,fitting_fraction,is_diagonal
32,32,OLS,1.0008201076085173,0.07748330611427356,0.006003662726398224,16384,True,128,16384,1.0,True
32,32,WLS,1.0003128331989035,0.03050891783706023,0.0009307940675884919,16384,True,128,16384,1.0,True
32,32,WLS_SQRTLAG,1.0007947688465055,0.07055455397777605,0.0049779450870029145,16384,True,128,16384,1.0,True
32,32,GLS,1.0000655211830467,0.018472789367069496,0.0003412439470001159,16384,True,128,16384,1.0,True
45,32,OLS,1.0003658697317972,0.06612030649080385,0.004371894930437837,16384,True,128,16384,0.7111111111111111,False
45,32,WLS,0.9999561810981992,0.025490026185633806,0.0006497414349442971,16384,True,128,16384,0.7111111111111111,False
45,32,WLS_SQRTLAG,1.0002705958563989,0.059866299478499634,0.0035839738132494056,16384,True,128,16384,0.7111111111111111,False
45,32,GLS,1.0000564553617188,0.015444343939923801,0.00023852775973466105,16384,True,128,16384,0.7111111111111111,False
45,45,OLS,1.0001814953624837,0.07610496963178791,0.00579196640265536,16384,True,128,16384,1.0,True
45,45,WLS,0.9998658947619044,0.02777035246028097,0.0007711924757682335,16384,True,128,16384,1.0,True
45,45,WLS_SQRTLAG,1.0001333089445934,0.06896839210099488,0.004756639108996574,16384,True,128,16384,1.0,True
45,45,GLS,0.9998689841413118,0.015579767605007143,0.00024272915862603002,16384,True,128,16384,1.0,True
64,32,OLS,0.9998584982176459,0.05262093328506623,0.002768962619791391,16384,True,128,16384,0.5,False
64,32,WLS,0.9998637956420191,0.02125195387569748,0.00045164554353477316,16384,True,128,16384,0.5,False
64,32,WLS_SQRTLAG,0.9998569662297525,0.047665976526368475,0.0022720453182123105,16384,True,128,16384,0.5,False
64,32,GLS,0.9999264358720145,0.012873799850032664,0.00016573472257870107,16384,True,128,16384,0.5,False
64,45,OLS,1.0001717269972616,0.06494318265409142,0.0042176169732426804,16384,True,128,16384,0.703125,False
64,45,WLS,0.9998775245877181,0.023008100455433608,0.0005293726865673241,16384,True,128,16384,0.703125,False
64,45,WLS_SQRTLAG,1.0000928231255863,0.058392829263172706,0.003409722509358039,16384,True,128,16384,0.703125,False
64,45,GLS,0.9998706725422938,0.012956929046431951,0.00016788201031427198,16384,True,128,16384,0.703125,False
64,64,OLS,1.0009499355529985,0.07686694821104914,0.005908527727280111,16384,True,128,16384,1.0,True
64,64,WLS,1.0000339797899136,0.025107738801058002,0.0006303985477021535,16384,True,128,16384,1.0,True
64,64,WLS_SQRTLAG,1.0007949551279351,0.06931911371264118,0.004805139525906078,16384,True,128,16384,1.0,True
64,64,GLS,0.9999043538407157,0.012760327916807729,0.0001628259685444627,16384,True,128,16384,1.0,True
90,32,OLS,0.9997541779875311,0.04203413601337047,0.0017668685903905283,16384,True,128,16384,0.35555555555555557,False
90,32,WLS,0.9997716659468167,0.017845389581625598,0.0003184579293199914,16384,True,128,16384,0.35555555555555557,False
90,32,WLS_SQRTLAG,0.9997511857117773,0.038287320571151987,0.0014659189165181579,16384,True,128,16384,0.35555555555555557,False
90,32,GLS,0.9998201218732762,0.010827444070033387,0.00011723354508970115,16384,True,128,16384,0.35555555555555557,False
90,45,OLS,0.999984709092178,0.05253985873339127,0.002760436755724711,16384,True,128,16384,0.5,False
90,45,WLS,0.9998719003215958,0.019341981183429682,0.0003741122361001479,16384,True,128,16384,0.5,False
90,45,WLS_SQRTLAG,0.9999516056138302,0.047288253263268604,0.0022361788966910336,16384,True,128,16384,0.5,False
90,45,GLS,0.99988991022624,0.010727652224489638,0.00011508252224959747,16384,True,128,16384,0.5,False
90,64,OLS,1.0003934928293128,0.06614969239185206,0.004375781803536651,16384,True,128,16384,0.7111111111111111,False
90,64,WLS,1.0001035825232996,0.021057727210603394,0.0004434278752761866,16384,True,128,16384,0.7111111111111111,False
90,64,WLS_SQRTLAG,1.0003719343572557,0.059218611777578894,0.003506843980863606,16384,True,128,16384,0.7111111111111111,False
