n_steps,max_lag,method,mean,std,var,n_valid,time_averaged,n_particles,n_simulations,fitting_fraction,is_diagonal
32,32,OLS,1.001171421262901,0.07711800737607889,0.005947187061656959,512,True,128,512,1.0,True
32,32,WLS,1.0011501992469913,0.0303640116608821,0.0009219732041421841,512,True,128,512,1.0,True
32,32,WLS_SQRTLAG,1.0013300019285991,0.07030985773242254,0.004943476094353498,512,True,128,512,1.0,True
32,32,GLS,1.0000646829911022,0.017583877581861092,0.00030919275081387707,512,True,128,512,1.0,True
45,32,OLS,0.9993007634955327,0.06579714381576399,0.00432926413431233,512,True,128,512,0.7111111111111111,False
45,32,WLS,1.0006032625027288,0.025720460882041822,0.0006615421079846436,512,True,128,512,0.7111111111111111,False
45,32,WLS_SQRTLAG,0.9996135107981223,0.05966586565974317,0.003560015524926519,512,True,128,512,0.7111111111111111,False
45,32,GLS,1.0006400810233154,0.014643996545296694,0.0002144466348186615,512,True,128,512,0.7111111111111111,False
45,45,OLS,1.002928953041115,0.07208550019413662,0.005196319338238871,512,True,128,512,1.0,True
45,45,WLS,1.001057100657651,0.027138510664220544,0.0007364987610720122,512,True,128,512,1.0,True
45,45,WLS_SQRTLAG,1.0031313076929083,0.06582572744825978,0.004333026394092581,512,True,128,512,1.0,True
45,45,GLS,0.9998402116505707,0.014763465699867783,0.00021795991947117256,512,True,128,512,1.0,True
64,32,OLS,1.0020856889897085,0.05385384420436753,0.00290023653558829,512,True,128,512,0.5,False
64,32,WLS,1.0016977033383054,0.021504230805810823,0.00046243194254958327,512,True,128,512,0.5,False
64,32,WLS_SQRTLAG,1.0022611107766735,0.0487950582250127,0.0023809577071823794,512,True,128,512,0.5,False
64,32,GLS,1.0002335756311107,0.012568535158401464,0.00015796807602797371,512,True,128,512,0.5,False
64,45,OLS,1.0003607600605902,0.06299301495481491,0.003968119933097534,512,True,128,512,0.703125,False
64,45,WLS,0.9998952819597227,0.021755515408889897,0.00047330245070644573,512,True,128,512,0.703125,False
64,45,WLS_SQRTLAG,1.0001428162653407,0.05623064579888821,0.0031618855269600244,512,True,128,512,0.703125,False
64,45,GLS,0.9998294287873744,0.012113317121626244,0.0001467324516890835,512,True,128,512,0.703125,False
64,64,OLS,0.9996678816150396,0.07864358159448075,0.006184812926007752,512,True,128,512,1.0,True
64,64,WLS,0.9992071722387673,0.026500096495656045,0.0007022551142790818,512,True,128,512,1.0,True
64,64,WLS_SQRTLAG,0.9996047389666212,0.07135720974000062,0.005091851381878439,512,True,128,512,1.0,True
64,64,GLS,0.9990671004049363,0.012868355474187812,0.00016559457261005944,512,True,128,512,1.0,True
90,32,OLS,1.0002425353425894,0.044166087589895334,0.0019506432929983066,512,True,128,512,0.35555555555555557,False
90,32,WLS,0.9997950183594516,0.017553746726113758,0.00030813402412454953,512,True,128,512,0.35555555555555557,False
90,32,WLS_SQRTLAG,1.0000063148789482,0.04018614495318089,0.0016149262461980657,512,True,128,512,0.35555555555555557,False
90,32,GLS,1.0001903192105988,0.010358534605686835,0.00010729923917721172,512,True,128,512,0.35555555555555557,False
90,45,OLS,0.9983256852996307,0.05183572165861119,0.002686942039869013,512,True,128,512,0.5,False
90,45,WLS,0.9994472942222695,0.019446867277136196,0.00037818064689455056,512,True,128,512,0.5,False
90,45,WLS_SQRTLAG,0.9984926536649934,0.04653883487660399,0.002165863151671812,512,True,128,512,0.5,False
90,45,GLS,0.9998002287309945,0.010672660438009497,0.00011390568082505309,512,True,128,512,0.5,False
90,64,OLS,1.001467429391396,0.06746535822451943,0.004551574560362733,512,True,128,512,0.7111111111111111,False
90,64,WLS,0.9995558372162979,0.021491247397517902,0.00046187371470132,512,True,128,512,0.7111111111111111,False
90,64,WLS_SQRTLAG,1.0009221291259116,0.060116921463358446,0.003614044246231607,512,True,128,512,0.7111111111111111,False
90,64,GLS,0.9996231982558754,0.010379622080599582,0.0001077365545360704,512,True,128,512,0.7111111111111111,False
90,90,OLS,1.0001792060819785,0.07721101629751816,0.005961541037695615,512,True,128,512,1.0,True
90,90,WLS,0.999182821859129,0.022914735405461375,0.000525085098702305,512,True,128,512,1.0,True
90,90,WLS_SQRTLAG,0.9996856122085345,0.06925531202979947,0.004796298244344887,512,True,128,512,1.0,True
90,90,GLS,0.9993844013252443,0.009635155605033034,9.283622353319947e-05,512,True,128,512,1.0,True
128,32,OLS,1.0004406565786397,0.0344292780048698,0.0011853751839366114,512,True,128,512,0.25,False
128,32,WLS,1.0002847739514875,0.01500177088889322,0.0002250531298028441,512,True,128,512,0.25,False
128,32,WLS_SQRTLAG,1.000453503493827,0.03137572648364351,0.0009844362123764086,512,True,128,512,0.25,False
128,32,GLS,1.000476430094606,0.008976060844082685,8.056966827667438e-05,512,True,128,512,0.25,False
128,45,OLS,1.001106353192499,0.04073840496471162,0.0016596176390688405,512,True,128,512,0.3515625,False
128,45,WLS,1.0009309299798734,0.01623256542824032,0.0002634961803821028,512,True,128,512,0.3515625,False
128,45,WLS_SQRTLAG,1.0011268516148026,0.0366046069993768,0.001339897253578825,512,True,128,512,0.3515625,False
128,45,GLS,1.0001979729528023,0.00858028989786738,7.362137473144502e-05,512,True,128,512,0.3515625,False
