n_steps,max_lag,method,mean,std,var,n_valid,time_averaged,n_particles,n_simulations,fitting_fraction,is_diagonal
32,32,OLS,1.001370635770054,0.07987012892928033,0.0063792374951798635,64,True,128,64,1.0,True
32,32,WLS,1.0045211920775565,0.027679740383117754,0.0007661680276767998,64,True,128,64,1.0,True
32,32,WLS_SQRTLAG,1.0033003825742237,0.07240826687641334,0.005242957112045898,64,True,128,64,1.0,True
32,32,GLS,0.9978045168198254,0.012789039841030825,0.00016355954005547375,64,True,128,64,1.0,True
45,32,OLS,1.0061169074340488,0.0676847827348324,0.004581229813861466,64,True,128,64,0.7111111111111111,False
45,32,WLS,0.9997267370661058,0.02543064899898077,0.0006467179085093617,64,True,128,64,0.7111111111111111,False
45,32,WLS_SQRTLAG,1.0049226962133964,0.06108683489165826,0.003731601397080717,64,True,128,64,0.7111111111111111,False
45,32,GLS,0.9972602614016896,0.012450179687107004,0.00015500697424125184,64,True,128,64,0.7111111111111111,False
45,45,OLS,1.0125353797736314,0.08912524197299387,0.007943308756744708,64,True,128,64,1.0,True
45,45,WLS,1.0031419543459097,0.0306263674374473,0.0009379743824135323,64,True,128,64,1.0,True
45,45,WLS_SQRTLAG,1.0119602920877826,0.0819489418832361,0.00671562907578201,64,True,128,64,1.0,True
45,45,GLS,0.9997817377661626,0.007705140489146757,5.9369189957488724e-05,64,True,128,64,1.0,True
64,32,OLS,1.0089765647801419,0.04823534966116419,0.0023266489569347725,64,True,128,64,0.5,False
64,32,WLS,1.0055890772346245,0.020272807384987393,0.00041098671926879937,64,True,128,64,0.5,False
64,32,WLS_SQRTLAG,1.0083837561682814,0.04348210805637828,0.001890693721026557,64,True,128,64,0.5,False
64,32,GLS,1.0039574405525862,0.007663447536445163,5.872842814384743e-05,64,True,128,64,0.5,False
64,45,OLS,0.9977403490799361,0.06766413105006733,0.004578434630760686,64,True,128,64,0.703125,False
64,45,WLS,0.9980903449719556,0.02505218079748905,0.0006276117627100792,64,True,128,64,0.703125,False
64,45,WLS_SQRTLAG,0.9972956738643799,0.06152014938147566,0.00378472877991908,64,True,128,64,0.703125,False
64,45,GLS,0.9992640518597056,0.006028827561388115,3.634676176495297e-05,64,True,128,64,0.703125,False
64,64,OLS,0.9951567851236293,0.08564361918115539,0.007334829506446766,64,True,128,64,1.0,True
64,64,WLS,0.9941193622026442,0.026219636660399427,0.0006874693466033617,64,True,128,64,1.0,True
64,64,WLS_SQRTLAG,0.994837961104597,0.07713716415826152,0.005950142094378585,64,True,128,64,1.0,True
64,64,GLS,0.9905992574939801,0.001827557324181576,3.3399657731697217e-06,64,True,128,64,1.0,True
90,32,OLS,1.0079559306865575,0.04950956289684838,0.002451196818236986,64,True,128,64,0.35555555555555557,False
90,32,WLS,1.0007229993822524,0.018404157491179556,0.00033871301296014054,64,True,128,64,0.35555555555555557,False
90,32,WLS_SQRTLAG,1.0066835028074443,0.04538641259640567,0.002059926448371171,64,True,128,64,0.35555555555555557,False
90,32,GLS,0.9954689253995228,0.007075891724518569,5.0068243697110366e-05,64,True,128,64,0.35555555555555557,False
90,45,OLS,0.9982952889973662,0.04617873062049321,0.002132475161720077,64,True,128,64,0.5,False
90,45,WLS,1.0005064566602158,0.018226527500246732,0.00033220630471725044,64,True,128,64,0.5,False
90,45,WLS_SQRTLAG,0.998695012891639,0.040743072777190935,0.0016599979793274773,64,True,128,64,0.5,False
90,45,GLS,0.9953231987161567,0.0059669972566732754,3.56050562611464e-05,64,True,128,64,0.5,False
90,64,OLS,0.997914908964832,0.07062080135631503,0.004987297584208107,64,True,128,64,0.7111111111111111,False
