n_steps,max_lag,method,mean,std,var,n_valid,time_averaged,n_particles,n_simulations,fitting_fraction,is_diagonal
16,16,OLS,1.002155656350059,0.0778232217398664,0.006056453841972415,4096,True,128,4096,1.0,True
16,16,WLS,1.0007666845541188,0.05480203017350624,0.003003262511137888,4096,True,128,4096,1.0,True
16,16,WLS_SQRTLAG,1.0018989794506634,0.071774872288491,0.005151632292029194,4096,True,128,4096,1.0,True
16,16,GLS,0.9999523381713744,0.03883990084165703,0.0015085378973897505,4096,True,128,4096,1.0,True
32,16,OLS,1.0013085036822194,0.05386910397155986,0.0029018803626987264,4096,True,128,4096,0.5,False
32,16,WLS,1.0004489482756636,0.03744176619193625,0.0014018858555716208,4096,True,128,4096,0.5,False
32,16,WLS_SQRTLAG,1.0011167520120625,0.049508991328851545,0.0024511402224002975,4096,True,128,4096,0.5,False
32,16,GLS,1.000275209824779,0.02676927559491003,0.0007165941158762457,4096,True,128,4096,0.5,False
32,32,OLS,0.9997385197073723,0.07606392390567661,0.0057857205199285605,4096,True,128,4096,1.0,True
32,32,WLS,1.000119605952679,0.04258614994431141,0.0018135801670793746,4096,True,128,4096,1.0,True
32,32,WLS_SQRTLAG,0.9998540876952557,0.06921184626138331,0.004790279662909358,4096,True,128,4096,1.0,True
32,32,GLS,1.0000695835111224,0.0264284895776411,0.0006984650613554844,4096,True,128,4096,1.0,True
64,16,OLS,1.0009537339290357,0.0344067539714124,0.0011838247188493032,4096,True,128,4096,0.25,False
64,16,WLS,1.0004559553941714,0.02525902820187571,0.0006380185057031525,4096,True,128,4096,0.25,False
64,16,WLS_SQRTLAG,1.0008405115794556,0.0319030595579104,0.0010178052091555784,4096,True,128,4096,0.25,False
64,16,GLS,1.0000806559505975,0.018442038375204934,0.0003401087794325315,4096,True,128,4096,0.25,False
64,32,OLS,0.9991340183576551,0.05185559935301275,0.0026890031842601767,4096,True,128,4096,0.5,False
64,32,WLS,0.9996785278183149,0.029220932497620995,0.0008538628960305227,4096,True,128,4096,0.5,False
64,32,WLS_SQRTLAG,0.999232695489526,0.046933491324346543,0.0022027526078925125,4096,True,128,4096,0.5,False
64,32,GLS,1.00015580262984,0.018521175991018993,0.00034303396009029835,4096,True,128,4096,0.5,False
64,64,OLS,1.0012743771411028,0.0781518271162028,0.006107708081600853,4096,True,128,4096,1.0,True
64,64,WLS,0.9998762212977461,0.03499492636857593,0.001224644871542051,4096,True,128,4096,1.0,True
64,64,WLS_SQRTLAG,1.0009741673326906,0.07028718642150565,0.004940288575051489,4096,True,128,4096,1.0,True
64,64,GLS,0.9995458713387199,0.018185096967957566,0.00033069775173401946,4096,True,128,4096,1.0,True
128,16,OLS,0.9997184773088075,0.02274735879780957,0.0005174423322762845,4096,True,128,4096,0.125,False
128,16,WLS,0.9997560171568061,0.01702267807180778,0.0002897715687364055,4096,True,128,4096,0.125,False
128,16,WLS_SQRTLAG,0.9997333334815307,0.021140369080458823,0.0004469152048580195,4096,True,128,4096,0.125,False
128,16,GLS,0.9998301723316023,0.012681138281144555,0.00016081126810550987,4096,True,128,4096,0.125,False
128,32,OLS,1.0001872210286389,0.03332188223122769,0.0011103478354318073,4096,True,128,4096,0.25,False
128,32,WLS,0.9999668465267926,0.020229341270210924,0.0004092262482266589,4096,True,128,4096,0.25,False
128,32,WLS_SQRTLAG,1.000150695247986,0.030462156716210567,0.0009279429918029726,4096,True,128,4096,0.25,False
128,32,GLS,0.9998903726897816,0.012878966035084967,0.00016586776613287217,4096,True,128,4096,0.25,False
128,64,OLS,1.0016775339636335,0.05295144820216128,0.0028038558667061687,4096,True,128,4096,0.5,False
128,64,WLS,1.0002606151671192,0.02415730093529044,0.0005835751884781843,4096,True,128,4096,0.5,False
128,64,WLS_SQRTLAG,1.001354371536969,0.04736083032822158,0.002243048249378593,4096,True,128,4096,0.5,False
128,64,GLS,1.0001313225341137,0.012738532817529081,0.0001622702183432654,4096,True,128,4096,0.5,False
128,128,OLS,0.9990841424721805,0.07636544427397489,0.005831681079161564,4096,True,128,4096,1.0,True
128,128,WLS,0.9996913683966879,0.029260361870405538,0.0008561687767870822,4096,True,128,4096,1.0,True
128,128,WLS_SQRTLAG,0.9992107770048091,0.06831499607881993,0.004666938689249183,4096,True,128,4096,1.0,True
128,128,GLS,0.9999424572076702,0.012706230897882387,0.00016144830363030104,4096,True,128,4096,1.0,True
256,16,OLS,0.9999651504490514,0.01611639478360614,0.00025973818082104723,4096,True,128,4096,0.0625,False
256,16,WLS,0.9999521427284757,0.012149356631617305,0.0001476068665622234,4096,True,128,4096,0.0625,False
